#Group	Point	X	Y	Z
1	1	100	0	0
1	2	99.9753	0.0036	0
1	3	99.9013	0.0143	0
1	4	99.7781	0.0322	0
1	5	99.6057	0.0572	0
1	6	99.3844	0.0891	0
1	7	99.1144	0.128	0
1	8	98.7958	0.1737	0
1	9	98.4292	0.226	0
1	10	98.0147	0.2849	0
1	11	97.5528	0.3501	0
1	12	97.044	0.4216	0
1	13	96.4888	0.499	0
1	14	95.8877	0.5822	0
1	15	95.2414	0.671	0
1	16	94.5503	0.7651	0
1	17	93.8153	0.8643	0
1	18	93.0371	0.9684	0
1	19	92.2164	1.077	0
1	20	91.354	1.19	0
1	21	90.4508	1.3071	0
1	22	89.5078	1.428	0
1	23	88.5257	1.5523	0
1	24	87.5056	1.68	0
1	25	86.4484	1.8106	0
1	26	85.3553	1.9438	0
1	27	84.2274	2.0795	0
1	28	83.0656	2.2173	0
1	29	81.8712	2.3569	0
1	30	80.6454	2.4981	0
1	31	79.3893	2.6405	0
1	32	78.1042	2.7838	0
1	33	76.7913	2.9279	0
1	34	75.4521	3.0723	0
1	35	74.0877	3.2168	0
1	36	72.6995	3.361	0
1	37	71.289	3.5048	0
1	38	69.8574	3.6478	0
1	39	68.4062	3.7896	0
1	40	66.9369	3.93	0
1	41	65.4508	4.0686	0
1	42	63.9496	4.2052	0
1	43	62.4345	4.3394	0
1	44	60.9072	4.4708	0
1	45	59.3691	4.5992	0
1	46	57.8217	4.7242	0
1	47	56.2667	4.8455	0
1	48	54.7054	4.9626	0
1	49	53.1395	5.0754	0
1	50	51.5705	5.1833	0
1	51	50	5.2862	0
1	52	48.4295	5.3835	0
1	53	46.8605	5.4749	0
1	54	45.2946	5.5602	0
1	55	43.7333	5.639	0
1	56	42.1783	5.7108	0
1	57	40.6309	5.7755	0
1	58	39.0928	5.8326	0
1	59	37.5655	5.8819	0
1	60	36.0504	5.923	0
1	61	34.5492	5.9557	0
1	62	33.0631	5.9797	0
1	63	31.5938	5.9947	0
1	64	30.1426	6.0006	0
1	65	28.711	5.9971	0
1	66	27.3005	5.9841	0
1	67	25.9123	5.9614	0
1	68	24.5479	5.9288	0
1	69	23.2087	5.8863	0
1	70	21.8958	5.8338	0
1	71	20.6107	5.7712	0
1	72	19.3546	5.6986	0
1	73	18.1288	5.6159	0
1	74	16.9344	5.5232	0
1	75	15.7726	5.4206	0
1	76	14.6447	5.3083	0
1	77	13.5516	5.1862	0
1	78	12.4944	5.0546	0
1	79	11.4743	4.9138	0
1	80	10.4922	4.7638	0
1	81	9.5492	4.6049	0
1	82	8.646	4.4374	0
1	83	7.7836	4.2615	0
1	84	6.9629	4.0776	0
1	85	6.1847	3.8859	0
1	86	5.4497	3.6867	0
1	87	4.7586	3.4803	0
1	88	4.1123	3.2671	0
1	89	3.5112	3.0473	0
1	90	2.956	2.8213	0
1	91	2.4472	2.5893	0
1	92	1.9853	2.3517	0
1	93	1.5708	2.1088	0
1	94	1.2042	1.8607	0
1	95	0.8856	1.6078	0
1	96	0.6156	1.3503	0
1	97	0.3943	1.0884	0
1	98	0.2219	0.8223	0
1	99	0.0987	0.5521	0
1	100	0.0247	0.2779	0
1	101	0	0	0
1	102	0.0247	-0.2779	0
1	103	0.0987	-0.5521	0
1	104	0.2219	-0.8223	0
1	105	0.3943	-1.0884	0
1	106	0.6156	-1.3503	0
1	107	0.8856	-1.6078	0
1	108	1.2042	-1.8607	0
1	109	1.5708	-2.1088	0
1	110	1.9853	-2.3517	0
1	111	2.4472	-2.5893	0
1	112	2.956	-2.8213	0
1	113	3.5112	-3.0473	0
1	114	4.1123	-3.2671	0
1	115	4.7586	-3.4803	0
1	116	5.4497	-3.6867	0
1	117	6.1847	-3.8859	0
1	118	6.9629	-4.0776	0
1	119	7.7836	-4.2615	0
1	120	8.646	-4.4374	0
1	121	9.5492	-4.6049	0
1	122	10.4922	-4.7638	0
1	123	11.4743	-4.9138	0
1	124	12.4944	-5.0546	0
1	125	13.5516	-5.1862	0
1	126	14.6447	-5.3083	0
1	127	15.7726	-5.4206	0
